"Film","Rank","Title","n_days","ID","Critic Rating","Critic Votes","User Votes","Budget","Star Power","User Rating","Genre","Runtime","Netflix Original(dummy)","Subtitles"
"Films (English)",1,"Luckiest Girl Alive",7,4595186,54,41,"147",NA,22,6.4,"Drama, Mystery, Thriller",113,"yes","Subtitles/subtitles_tt4595186.txt"
"Films (English)",2,"Mr. Harrigan's Phone",7,12908110,55,72,"167",NA,9,6,"Drama, Horror, Mystery",104,"yes","Subtitles/subtitles_tt12908110.txt"
"Films (English)",3,"Last Seen Alive",14,10242388,NA,48,"273",NA,12,5.6,"Action, Drama, Mystery, Thriller",95,"yes","Subtitles/subtitles_tt10242388.txt"
"Films (English)",4,"Blonde",14,1655389,50,438,"877","$22,000,000",31,5.5,"Biography, Drama, Romance",167,"yes","Subtitles/subtitles_tt1655389.txt"
"Films (English)",5,"Lou",21,5315210,51,57,"142",NA,10,6.1,"Action, Crime, Drama, Mystery, Thriller",107,"yes","Subtitles/subtitles_tt5315210.txt"
"Films (English)",6,"The Boss Baby",7,3874544,50,198,"278","$125,000,000",15,6.3,"Animation, Adventure, Comedy, Family, Fantasy",97,"yes","Subtitles/subtitles_tt3874544.txt"
"Films (English)",7,"Sing",7,3470600,59,246,"347","$75,000,000",39,7.1,"Animation, Comedy, Family, Musical",108,"yes","Subtitles/subtitles_tt3470600.txt"
"Films (English)",8,"Marauders",14,3963816,42,44,"162","$15,000,000",24,5.5,"Action, Crime, Thriller",107,"yes","Subtitles/subtitles_tt3963816.txt"
"Films (English)",9,"The Redeem Team",7,21837726,76,12,"11",NA,22,7.5,"Documentary, History, Sport",97,"yes","Subtitles/subtitles_tt21837726.txt"
"Films (Non-English)",2,"Laal Singh Chaddha",7,10028196,46,35,"1.9K","₹1,800,000,000",9,5.3,"Comedy, Drama, Romance",159,"yes","Subtitles/subtitles_tt10028196.txt"
"Films (Non-English)",3,"Old People",7,21933110,NA,24,"43","€5",4,5,"Horror",101,"yes","Subtitles/subtitles_tt21933110.txt"
"Films (Non-English)",4,"Plan A Plan B",14,15238986,NA,9,"27",NA,5,4.7,"Comedy, Romance",105,"yes","Subtitles/subtitles_tt15238986.txt"
"Films (Non-English)",5,"Togo",7,15686024,NA,8,"5",NA,1,5.3,"Crime, Drama, Thriller",92,"yes","Subtitles/subtitles_tt15686024.txt"
"Films (Non-English)",6,"Jumping from High Places",7,22071864,NA,14,NA,NA,4,5.6,"Comedy, Drama, Romance",88,"yes","Subtitles/subtitles_tt22071864.txt"
"Films (English)",3,"Do Revenge",21,13327038,66,87,"167","$25,000,000",13,6.4,"Comedy",118,"yes","Subtitles/subtitles_tt13327038.txt"
"Films (English)",4,"A Jazzman's Blues",14,14307536,63,28,"57",NA,8,6.7,"Drama",127,"yes","Subtitles/subtitles_tt14307536.txt"
"Films (English)",8,"Inheritance",7,7923220,31,69,"315",NA,13,5.5,"Drama, Mystery, Thriller",111,"yes","Subtitles/subtitles_tt7923220.txt"
"Films (English)",9,"Father Stu",14,14439896,40,74,"265","$4,000,000",24,6.5,"Biography, Drama",124,"yes","Subtitles/subtitles_tt14439896.txt"
"Films (English)",10,"Elysium",7,1535108,61,507,"997","$115,000,000",37,6.6,"Action, Drama, Sci-Fi, Thriller",109,"yes","Subtitles/subtitles_tt1535108.txt"
"Films (Non-English)",2,"The Perfumier",14,21916206,NA,16,"8",NA,4,3.6,"Crime, Drama, Mystery, Thriller",96,"yes","Subtitles/subtitles_tt21916206.txt"
"Films (Non-English)",6,"No Limit",28,14995258,NA,17,"10","€7,900,000",3,5.8,"Drama, Romance, Sport, Thriller",118,"yes","Subtitles/subtitles_tt14995258.txt"
"Films (Non-English)",7,"El Jeremías",21,4457020,NA,14,"5",NA,8,7.2,"Comedy, Drama, Family",95,"yes","Subtitles/subtitles_tt4457020.txt"
"Films (Non-English)",8,"Loving Adults",42,14592948,NA,19,"40",NA,9,6.5,"Crime, Drama, Thriller",104,"yes","Subtitles/subtitles_tt14592948.txt"
"Films (Non-English)",9,"Drifting Home",21,15494038,53,27,"18",NA,3,6.2,"Animation, Adventure, Drama, Family, Fantasy",119,"yes","Subtitles/subtitles_tt15494038.txt"
"Films (English)",4,"I Used to Be Famous",7,15807910,NA,21,"52",NA,8,6.6,"Comedy, Drama, Music",104,"yes","Subtitles/subtitles_tt15807910.txt"
"Films (English)",6,"Me Time",35,14309446,25,58,"228","$80,000,000",21,5,"Comedy",101,"yes","Subtitles/subtitles_tt14309446.txt"
"Films (English)",8,"End of the Road",21,13655328,44,34,"116",NA,8,4.7,"Action, Crime, Drama, Mystery, Thriller",89,"yes","Subtitles/subtitles_tt13655328.txt"
"Films (English)",9,"This Is the End",14,1245492,67,407,"840","$32,000,000",36,6.6,"Comedy, Fantasy",107,"yes","Subtitles/subtitles_tt1245492.txt"
"Films (English)",10,"Dolittle",14,6673612,26,194,"846","$175,000,000",34,5.6,"Adventure, Comedy, Family, Fantasy",101,"yes","Subtitles/subtitles_tt6673612.txt"
"Films (Non-English)",4,"The Catholic School",14,10345782,NA,28,"20",NA,10,5.7,"Drama",106,"yes","Subtitles/subtitles_tt10345782.txt"
"Films (Non-English)",6,"Mat Kilau",14,11347146,NA,33,"60","MYR 8,000,000",11,5.7,"Action, Adventure, Drama, History, Thriller",117,"yes","Subtitles/subtitles_tt11347146.txt"
"Films (Non-English)",10,"Broad Peak",14,8983230,NA,19,"8",NA,10,5.9,"Adventure, Biography, Drama, Thriller",101,"yes","Subtitles/subtitles_tt8983230.txt"
"Films (English)",3,"Love in the Villa",21,15463032,50,30,"113",NA,8,5.3,"Comedy, Romance",114,"yes","Subtitles/subtitles_tt15463032.txt"
"Films (English)",5,"Morbius",14,5108870,35,244,"2.1K","$75,000,000",18,5.2,"Action, Adventure, Horror, Sci-Fi, Thriller",104,"yes","Subtitles/subtitles_tt5108870.txt"
"Films (English)",6,"I Came By",21,15083184,57,52,"177",NA,10,6.1,"Thriller",110,"yes","Subtitles/subtitles_tt15083184.txt"
"Films (English)",7,"Despicable Me 2",63,1690953,62,323,"352","$76,000,000",51,7.3,"Animation, Adventure, Comedy, Crime, Family, Sci-Fi",98,"yes","Subtitles/subtitles_tt1690953.txt"
"Films (English)",8,"The Invisible Man",7,1051906,72,475,"2K","$7,000,000",14,7.1,"Drama, Horror, Mystery, Sci-Fi, Thriller",124,"yes","Subtitles/subtitles_tt1051906.txt"
"Films (Non-English)",3,"Ek Villain Returns",14,11947158,NA,11,"751","₹5,000,000,000",11,4.6,"Action, Romance, Thriller",129,"yes","Subtitles/subtitles_tt11947158.txt"
"Films (Non-English)",7,"Jogi",7,21848358,NA,19,"59",NA,6,7.3,"Drama, History, Thriller",116,"yes","Subtitles/subtitles_tt21848358.txt"
"Films (Non-English)",9,"Fenced In",21,21742248,NA,7,NA,NA,4,4.3,"Comedy",110,"yes","Subtitles/subtitles_tt21742248.txt"
"Films (English)",6,"White Chicks",7,381707,41,75,"380","$37,000,000",28,5.7,"Comedy, Crime",109,"yes","Subtitles/subtitles_tt0381707.txt"
"Films (English)",8,"Hanna",7,6932244,NA,49,"730",NA,16,7.6,"Action, Drama",60,"yes","Subtitles/subtitles_tt6932244.txt"
"Films (English)",9,"Triple 9",7,1712261,52,261,"216","$20,000,000",24,6.3,"Action, Crime, Thriller",115,"yes","Subtitles/subtitles_tt1712261.txt"
"Films (English)",10,"Labor Day",7,1967545,52,221,"153","$18,000,000",22,6.9,"Drama, Romance, Thriller",111,"yes","Subtitles/subtitles_tt1967545.txt"
"Films (Non-English)",4,"Under Her Control",14,15006754,NA,13,"13",NA,4,4.7,"Drama",109,"yes","Subtitles/subtitles_tt15006754.txt"
"Films (Non-English)",6,"Seoul Vibe",21,13611770,NA,14,"12",NA,12,5.5,"Action, Comedy, Crime, Drama",138,"yes","Subtitles/subtitles_tt13611770.txt"
"Films (Non-English)",8,"For Better, for Worse",7,8469890,NA,NA,"2",NA,12,4.6,"Comedy, Romance",86,"yes","Subtitles/subtitles_tt8469890.txt"
"Films (Non-English)",9,"HollyBlood",7,14210720,NA,13,"10",NA,7,4.3,"Comedy, Fantasy, Horror, Romance",87,"yes","Subtitles/subtitles_tt14210720.txt"
"Films (English)",4,"That's Amor",14,21388556,NA,15,"34",NA,11,5.2,"Comedy, Romance",96,"yes","Subtitles/subtitles_tt21388556.txt"
"Films (English)",5,"Look Both Ways",21,14298328,49,47,"131",NA,12,6.3,"Comedy, Drama, Romance",110,"yes","Subtitles/subtitles_tt14298328.txt"
"Films (English)",6,"Day Shift",28,13314558,51,127,"595","$100,000,000",13,6.1,"Action, Comedy, Fantasy, Horror, Thriller",113,"yes","Subtitles/subtitles_tt13314558.txt"
"Films (English)",7,"The Next 365 Days",21,21106646,NA,23,"106",NA,8,2.7,"Drama, Romance",112,"yes","Subtitles/subtitles_tt21106646.txt"
"Films (English)",8,"Purple Hearts",42,4614584,30,42,"412",NA,13,6.7,"Drama, Music, Romance",122,"yes","Subtitles/subtitles_tt4614584.txt"
"Films (English)",9,"The Gray Man",42,1649418,49,207,"2.2K","$200,000,000",31,6.5,"Action, Thriller",122,"yes","Subtitles/subtitles_tt1649418.txt"
"Films (English)",10,"Collateral",7,369339,71,232,"1K","$65,000,000",31,7.5,"Action, Crime, Drama, Thriller",120,"yes","Subtitles/subtitles_tt0369339.txt"
"Films (Non-English)",6,"The Figo Affair: The Transfer that Changed Football",14,21836538,NA,3,"20",NA,0,7.1,"Documentary, Sport",105,"yes","Subtitles/subtitles_tt21836538.txt"
"Films (Non-English)",7,"School Life",7,8783532,NA,20,"12",NA,10,6.5,"Comedy, Drama",111,"yes","Subtitles/subtitles_tt8783532.txt"
"Films (Non-English)",8,"Royalteen",21,15022184,NA,22,"19",NA,6,5.2,"Drama, Romance",107,"yes","Subtitles/subtitles_tt15022184.txt"
"Films (Non-English)",9,"Rise of the Legend",7,3469592,62,28,"13",NA,11,6.4,"Action, Biography, Drama",131,"yes","Subtitles/subtitles_tt3469592.txt"
"Films (Non-English)",10,"Watch Out, We're Mad",14,69697,NA,25,"46",NA,6,7.3,"Action, Comedy",102,"yes","Subtitles/subtitles_tt0069697.txt"
"Films (English)",6,"The Mummy",7,120616,48,133,"1.1K","$80,000,000",18,7.1,"Action, Adventure, Fantasy",124,"yes","Subtitles/subtitles_tt0120616.txt"
"Films (English)",7,"Running with the Devil: The Wild World of John McAfee",7,21379574,NA,9,"44",NA,6,5.9,"Documentary, Crime",105,"yes","Subtitles/subtitles_tt21379574.txt"
"Films (English)",8,"Untold: The Girlfriend Who Didn't Exist",14,21340300,NA,7,"88",NA,3,7.2,"Documentary, Biography, Sport",124,"yes","Subtitles/subtitles_tt21340300.txt"
"Films (English)",10,"The Great Wall",7,2034800,42,297,"540","$150,000,000",16,5.9,"Action, Adventure, Fantasy, Thriller",103,"yes","Subtitles/subtitles_tt2034800.txt"
"Films (Non-English)",6,"The Assistant",7,9000224,79,174,"499",NA,14,6.4,"Drama",87,"yes","Subtitles/subtitles_tt9000224.txt"
"Films (Non-English)",7,"Blood Red Sky",105,6402468,43,92,"813","€15,000,000",16,6.1,"Action, Adventure, Drama, Fantasy, Horror, Thriller",121,"yes","Subtitles/subtitles_tt6402468.txt"
"Films (Non-English)",8,"Carter",28,21237030,NA,42,"267",NA,6,5.1,"Action, Thriller",132,"yes","Subtitles/subtitles_tt21237030.txt"
"Films (Non-English)",9,"Darlings",28,14152140,NA,31,"294","₹248,000,000",8,6.6,"Comedy, Drama, Thriller",133,"yes","Subtitles/subtitles_tt14152140.txt"
"Films (English)",7,"The Angry Birds Movie 2",7,6095472,60,110,"188","$65,000,000",47,6.4,"Animation, Action, Adventure, Comedy, Family",97,"yes","Subtitles/subtitles_tt6095472.txt"
"Films (English)",8,"Uncharted",21,1464335,45,264,"1.6K","$120,000,000",18,6.3,"Action, Adventure",116,"yes","Subtitles/subtitles_tt1464335.txt"
"Films (English)",9,"The Sea Beast",49,9288046,74,77,"266",NA,13,7.1,"Animation, Adventure, Comedy, Family, Fantasy",115,"yes","Subtitles/subtitles_tt9288046.txt"
"Films (English)",10,"Inside the Mind of a Cat",7,21340412,NA,7,"27",NA,1,6.9,"Documentary",67,"yes","Subtitles/subtitles_tt21340412.txt"
"Films (Non-English)",7,"Bank Robbers: The Last Great Heist",14,21281774,NA,10,NA,NA,1,7.1,"Documentary, Crime",109,"yes","Subtitles/subtitles_tt21281774.txt"
"Films (Non-English)",9,"Nikamma",7,10687220,NA,6,"33",NA,3,2.6,"Action, Comedy, Drama",152,"yes","Subtitles/subtitles_tt10687220.txt"
"Films (English)",5,"Wedding Season",14,15114768,NA,11,"6",NA,10,6.6,"Action, Adventure, Comedy, Crime, Romance, Thriller",NA,"yes","Subtitles/subtitles_tt15114768.txt"
"Films (English)",7,"1917",7,8579674,78,520,"3.4K","$95,000,000",19,8.2,"Action, Drama, War",119,"yes","Subtitles/subtitles_tt8579674.txt"
"Films (English)",9,"The Informer",7,1833116,61,59,"264","$60,000,000",14,6.6,"Action, Crime, Drama, Thriller",113,"yes","Subtitles/subtitles_tt1833116.txt"
"Films (English)",10,"Sing 2",56,6467266,49,122,"422","$85,000,000",39,7.4,"Animation, Adventure, Comedy, Family, Musical",110,"yes","Subtitles/subtitles_tt6467266.txt"
"Films (Non-English)",9,"Heartsong",7,21339860,NA,13,"12",NA,9,5.8,"Comedy, Drama, Music, Romance",95,"yes","Subtitles/subtitles_tt21339860.txt"
"Films (English)",6,"Spider-Man: Far from Home",14,6320628,69,445,"2.3K","$160,000,000",33,7.4,"Action, Adventure, Sci-Fi",129,"yes","Subtitles/subtitles_tt6320628.txt"
"Films (English)",7,"The Age of Adaline",7,1655441,51,238,"437","$25,000,000",20,7.2,"Drama, Fantasy, Romance",112,"yes","Subtitles/subtitles_tt1655441.txt"
"Films (English)",8,"Tower Heist",7,471042,59,235,"254","$75,000,000",31,6.2,"Action, Comedy, Crime",104,"yes","Subtitles/subtitles_tt0471042.txt"
"Films (English)",9,"Men in Black 3",7,1409024,58,456,"425","$225,000,000",77,6.8,"Action, Adventure, Comedy, Sci-Fi",106,"yes","Subtitles/subtitles_tt1409024.txt"
"Films (Non-English)",5,"The Entitled",14,1650535,NA,16,"38","$4,500,000",10,6.1,"Crime, Thriller",91,"yes","Subtitles/subtitles_tt1650535.txt"
"Films (Non-English)",6,"Too Old for Fairy Tales",21,15575356,NA,11,"7",NA,5,6.2,"Comedy, Family",106,"yes","Subtitles/subtitles_tt15575356.txt"
"Films (Non-English)",7,"Buba",7,21195548,NA,18,"19",NA,10,5.8,"Comedy, Drama",94,"yes","Subtitles/subtitles_tt21195548.txt"
"Films (Non-English)",10,"Incantation",35,18968540,NA,46,"170","NT$45,000,000",5,6.2,"Horror, Mystery",110,"yes","Subtitles/subtitles_tt18968540.txt"
"Films (English)",4,"Persuasion",21,13456318,42,92,"680",NA,9,5.7,"Drama, Romance",108,"yes","Subtitles/subtitles_tt13456318.txt"
"Films (English)",7,"The Man from Toronto",42,11671006,34,73,"391","$75,000,000",21,5.8,"Action, Adventure, Comedy, Thriller",110,"yes","Subtitles/subtitles_tt11671006.txt"
"Films (English)",9,"Line of Duty",7,2303687,NA,37,"462",NA,20,8.7,"Crime, Drama, Mystery, Thriller",60,"yes","Subtitles/subtitles_tt2303687.txt"
"Films (English)",10,"Red Notice",98,7991608,37,200,"1.8K","$160,000,000",23,6.3,"Action, Comedy, Thriller",118,"yes","Subtitles/subtitles_tt7991608.txt"
"Films (Non-English)",4,"Major Grom: Plague Doctor",49,7601480,NA,20,"132","RUR 640,000,000",9,6.3,"Action, Crime",136,"yes","Subtitles/subtitles_tt7601480.txt"
"Films (Non-English)",6,"A Cut Above",7,21265550,NA,8,NA,NA,5,4.8,"Comedy",90,"yes","Subtitles/subtitles_tt21265550.txt"
"Films (English)",4,"Clean",7,10023022,44,28,"144",NA,14,5.6,"Action, Crime, Drama, Thriller",94,"yes","Subtitles/subtitles_tt10023022.txt"
"Films (English)",5,"Daughter of the Wolf",7,7615052,36,20,"123",NA,8,4.6,"Action, Thriller",88,"yes","Subtitles/subtitles_tt7615052.txt"
"Films (English)",8,"Girl in the Picture",21,21059520,NA,27,"107",NA,2,7.2,"Documentary, Crime, Mystery",101,"yes","Subtitles/subtitles_tt21059520.txt"
"Films (English)",9,"CHIPS",14,493405,28,126,"231","$25,000,000",40,6,"Action, Comedy, Crime",100,"yes","Subtitles/subtitles_tt0493405.txt"
"Films (English)",10,"12 Strong",14,1413492,54,170,"436","$35,000,000",27,6.5,"Action, Drama, History, War",130,"yes","Subtitles/subtitles_tt1413492.txt"
"Films (Non-English)",4,"Valley of the Dead",14,10127708,NA,35,"48",NA,14,5.8,"Action, Adventure, Fantasy, Horror, Thriller, War",101,"yes","Subtitles/subtitles_tt10127708.txt"
"Films (Non-English)",6,"Jaadugar",14,13793230,NA,15,"208",NA,7,6.9,"Comedy, Drama, Fantasy, Romance, Sport",167,"yes","Subtitles/subtitles_tt13793230.txt"
"Films (Non-English)",7,"Under the Amalfi Sun",14,15311262,NA,14,"4",NA,7,5.3,"Comedy, Drama, Romance",95,"yes","Subtitles/subtitles_tt15311262.txt"
"Films (English)",7,"Spider-Man: No Way Home",7,10872600,71,412,"6.1K","$200,000,000",31,8.3,"Action, Adventure, Fantasy, Sci-Fi",148,"yes","Subtitles/subtitles_tt10872600.txt"
"Films (English)",9,"Hustle",42,8009428,68,120,"444",NA,36,7.3,"Comedy, Drama, Sport",117,"yes","Subtitles/subtitles_tt8009428.txt"
"Films (English)",5,"American Assassin",7,1961175,45,226,"509","$33,000,000",27,6.2,"Action, Thriller",111,"yes","Subtitles/subtitles_tt1961175.txt"
"Films (English)",6,"Grand Isle",7,8380776,29,29,"93",NA,8,4.7,"Thriller",97,"yes","Subtitles/subtitles_tt8380776.txt"
"Films (English)",9,"Mean Girls",7,377092,66,124,"744","$17,000,000",29,7.1,"Comedy",97,"yes","Subtitles/subtitles_tt0377092.txt"
"Films (English)",10,"The Dark Knight Rises",7,1345836,78,567,"3.7K","$250,000,000",103,8.4,"Action, Drama",164,"yes","Subtitles/subtitles_tt1345836.txt"
"Films (Non-English)",7,"Blasted",14,14866710,NA,26,"41",NA,5,4.8,"Action, Comedy, Sci-Fi",114,"yes","Subtitles/subtitles_tt14866710.txt"
"Films (Non-English)",9,"Operation Romeo",7,18923048,NA,4,"35",NA,3,6.3,"Drama, Mystery",132,"yes","Subtitles/subtitles_tt18923048.txt"
"Films (Non-English)",10,"Bhool Bhulaiyaa 2",28,6455162,NA,10,"1K",NA,12,5.7,"Comedy, Horror",143,"yes","Subtitles/subtitles_tt6455162.txt"
"Films (English)",3,"Love & Gelato",14,15521050,NA,18,"90",NA,5,5.1,"Comedy, Drama, Romance",110,"yes","Subtitles/subtitles_tt15521050.txt"
"Films (English)",5,"Glamour Girls",7,20604466,NA,9,"11",NA,7,3.7,"Drama",125,"yes","Subtitles/subtitles_tt20604466.txt"
"Films (English)",6,"Homefront",7,2312718,40,216,"266","$22,000,000",22,6.5,"Action, Crime, Thriller",100,"yes","Subtitles/subtitles_tt2312718.txt"
"Films (English)",7,"Spiderhead",21,9783600,54,125,"509",NA,8,5.4,"Action, Crime, Drama, Sci-Fi, Thriller",106,"yes","Subtitles/subtitles_tt9783600.txt"
"Films (English)",8,"The Mist",14,884328,58,355,"1.3K","$18,000,000",22,7.1,"Horror, Sci-Fi, Thriller",126,"yes","Subtitles/subtitles_tt0884328.txt"
"Films (English)",9,"Chickenhare and the Hamster of Darkness",28,12532368,NA,13,"20","€20,000,000",4,6.3,"Animation, Adventure, Comedy, Family",91,"yes","Subtitles/subtitles_tt12532368.txt"
"Films (English)",10,"Backtrace",7,3588588,34,47,"102",NA,10,3.8,"Action, Crime, Drama, Sci-Fi, Thriller",92,"yes","Subtitles/subtitles_tt3588588.txt"
"Films (Non-English)",2,"Anek",7,13919802,NA,12,"177",NA,7,6.7,"Action, Drama, Thriller",147,"yes","Subtitles/subtitles_tt13919802.txt"
"Films (Non-English)",4,"Doom of Love",14,14369296,NA,16,"19",NA,8,4.9,"Drama, Romance",100,"yes","Subtitles/subtitles_tt14369296.txt"
